index,type,size,datatype,number of elements
874,h2d,1229600,double,153700
875,h2d,1229600,double,153700
876,h2d,1229600,double,153700
877,h2d,1229600,double,153700
878,h2d,1229600,double,153700
879,h2d,1229600,double,153700
880,h2d,1229600,double,153700
881,h2d,1229600,double,153700
882,h2d,1229600,double,153700
883,h2d,1229600,double,153700
884,h2d,1229600,double,153700
885,h2d,1229600,double,153700
886,h2d,1229600,double,153700
887,h2d,1229600,double,153700
888,h2d,1229600,double,153700
889,h2d,1229600,double,153700
890,h2d,1229600,double,153700
891,h2d,1229600,double,153700
892,h2d,1229600,double,153700
893,d2h,2048,double,256
894,h2d,1229600,double,153700
895,h2d,1229600,double,153700
896,h2d,1229600,double,153700
897,h2d,1229600,double,153700
898,h2d,1229600,double,153700
899,h2d,1229600,double,153700
900,h2d,1229600,double,153700
901,h2d,1229600,double,153700
902,h2d,1229600,double,153700
903,h2d,1229600,double,153700
904,h2d,1229600,double,153700
905,h2d,1229600,double,153700
906,h2d,1229600,double,153700
907,h2d,1229600,double,153700
908,h2d,1229600,double,153700
909,h2d,1229600,double,153700
910,h2d,1229600,double,153700
911,h2d,1229600,double,153700
912,h2d,1229600,double,153700
913,h2d,1229600,double,153700
914,h2d,1229600,double,153700
915,h2d,1229600,double,153700
916,h2d,1229600,double,153700
917,h2d,1229600,double,153700
918,d2h,2048,double,256
919,h2d,1229600,double,153700
920,h2d,1229600,double,153700
921,h2d,1229600,double,153700
922,h2d,1229600,double,153700
923,h2d,1229600,double,153700
924,h2d,1229600,double,153700
925,h2d,1229600,double,153700
926,h2d,1229600,double,153700
927,h2d,1229600,double,153700
928,h2d,1229600,double,153700
929,h2d,1229600,double,153700
930,h2d,1229600,double,153700
931,h2d,1229600,double,153700
932,h2d,1229600,double,153700
933,h2d,1229600,double,153700
934,h2d,1229600,double,153700
935,h2d,1229600,double,153700
936,h2d,1229600,double,153700
